Transaction_ID,Date,Project_ID,Contractor_ID,Supplier_ID,Material,Quantity,Declared_Unit_Price,Reference_Unit_Price,Location
T001,2026-01-05,P001,C01,S01,Cement,500,410,400,Delhi
T002,2026-01-08,P001,C01,S02,Steel,200,680,650,Delhi
T003,2026-01-12,P002,C02,S03,Bricks,1000,8,7.5,Delhi
T004,2026-01-18,P002,C02,S04,Cement,450,405,400,Delhi
T005,2026-01-25,P003,C03,S05,Steel,300,660,650,Jaipur
T006,2026-02-02,P003,C03,S06,Sand,800,32,30,Jaipur
T007,2026-02-10,P004,C01,S01,Cement,600,760,400,Lucknow
T008,2026-02-15,P004,C01,S01,Steel,250,1180,650,Lucknow
T009,2026-02-22,P005,C01,S01,Cement,550,790,400,Delhi
T010,2026-03-01,P005,C01,S01,Steel,220,1210,650,Delhi
T011,2026-03-05,P006,C04,S07,Bricks,1200,7.8,7.5,Jaipur
T012,2026-03-11,P006,C04,S08,Cement,500,415,400,Jaipur
T013,2026-03-18,P007,C05,S09,Sand,900,31,30,Lucknow
T014,2026-03-25,P007,C05,S10,Steel,280,670,650,Lucknow
T015,2026-04-02,P008,C02,S03,Bricks,1100,8.2,7.5,Delhi
T016,2026-04-08,P008,C02,S04,Cement,480,410,400,Delhi
T017,2026-04-15,P009,C01,S01,Cement,700,805,400,Jaipur
T018,2026-04-20,P009,C01,S01,Steel,320,1250,650,Jaipur
T019,2026-04-25,P010,C06,S11,Cement,450,420,400,Lucknow
T020,2026-05-01,P010,C06,S12,Steel,200,665,650,Lucknow
